Salary,Year,Player,Pos,Age,Team,Championship Wins,RunnerUp Count,TRB,AST,STL,BLK,TOV,PF,PER,FG%,3P%,FTA,FT%,PTS,Championship Appearance Y/N
1700000,1981,John Shumate,PF,28,Seattle Supersonics,0.0,0.0,1.0,0,0.0,0.0,1.0,3,-11.5,0.0,0.0,3,0.667,2,0.0
800000,1981,Carl Nicks,PG,22,Utah Jazz,0.0,0.0,61.0,69,32.0,1.0,53.0,89,11.7,0.51,0.0,67,0.537,250,0.0
2900000,1981,Doug Collins,SG,29,Philadelphia 76ers,0.0,0.0,29.0,42,7.0,4.0,22.0,23,13.1,0.49200000000000005,0.0,29,0.828,148,0.0
900000,1981,Tom Abernethy,SF,26,Indiana Pacers,0.0,0.0,40.0,18,6.0,3.0,6.0,29,8.7,0.429,0.0,19,0.579,59,0.0
2000000,1981,Kim Hughes,C,28,Cleveland Cavaliers,0.0,0.0,77.0,24,17.0,21.0,33.0,73,4.4,0.35600000000000004,0.0,0,0.0,32,0.0
800000,1981,Gus Gerard,SF,27,San Antonio Spurs,0.0,0.0,38.0,9,7.0,3.0,8.0,17,12.8,0.36700000000000005,0.0,11,0.727,52,0.0
4200000,1982,Campy Russell,SF,30,New York Knicks,0.0,0.0,236.0,284,77.0,12.0,195.0,221,13.3,0.478,0.439,294,0.7759999999999999,1073,0.0
3000000,1982,Allan Bristow,SF,30,Dallas Mavericks,0.0,0.0,339.0,448,65.0,6.0,165.0,222,12.6,0.43700000000000006,0.16699999999999998,164,0.8170000000000001,573,0.0
2600000,1982,James Hardy,SF,25,Utah Jazz,0.0,0.0,470.0,110,58.0,67.0,78.0,192,11.4,0.485,0.0,93,0.688,422,0.0
5700000,1982,Mike Gale,PG,31,Golden State Warriors,0.0,0.0,189.0,261,121.0,28.0,126.0,173,10.9,0.496,0.0,65,0.785,421,0.0
1000000,1982,Tom Henderson,SG,30,Houston Rockets,0.0,0.0,138.0,306,55.0,7.0,105.0,120,11.0,0.45399999999999996,0.0,150,0.7,471,0.0
600000,1982,Kenny Higgs,PG,27,Denver Nuggets,0.0,0.0,144.0,395,72.0,6.0,156.0,263,10.8,0.43200000000000005,0.19,197,0.8170000000000001,569,0.0
2100000,1982,Chris Ford,SG,33,Boston Celtics,0.0,0.0,108.0,142,42.0,10.0,52.0,143,7.8,0.418,0.317,56,0.696,435,0.0
800000,1982,Mike Newlin,SG,33,New York Knicks,0.0,0.0,91.0,170,33.0,3.0,104.0,194,11.5,0.465,0.304,147,0.857,705,0.0
1600000,1982,Ron Lee,PG,29,Detroit Pistons,0.0,0.0,155.0,312,116.0,20.0,123.0,221,9.7,0.358,0.305,119,0.706,278,0.0
600000,1982,James Silas,SG,32,Cleveland Cavaliers,0.0,0.0,109.0,222,40.0,6.0,107.0,109,15.7,0.43799999999999994,0.0,286,0.86,748,0.0
3200000,1982,Mike Harper,PF,24,Portland Trail Blazers,0.0,0.0,339.0,54,55.0,82.0,92.0,229,12.2,0.49700000000000005,0.0,153,0.627,464,0.0
700000,1982,Cedrick Hordges,PF,25,Denver Nuggets,0.0,0.0,395.0,65,26.0,19.0,111.0,230,10.4,0.493,0.231,199,0.583,527,0.0
2300000,1982,George McGinnis,PF,31,Indiana Pacers,0.0,0.0,398.0,204,96.0,28.0,131.0,198,11.3,0.373,0.0,159,0.45299999999999996,354,0.0
3600000,1982,Brian Taylor,PG,30,San Diego Clippers,0.0,0.0,96.0,229,47.0,9.0,82.0,113,13.7,0.503,0.365,110,0.818,443,0.0
800000,1982,Mark Landsberger,PF,26,Los Angeles Lakers,1.0,0.0,401.0,32,10.0,7.0,49.0,134,10.3,0.43799999999999994,0.0,65,0.508,321,1.0
700000,1982,Leon Douglas,C,27,Kansas City Kings,0.0,0.0,290.0,35,15.0,38.0,55.0,210,6.5,0.5,0.0,80,0.4,172,0.0
4000000,1982,Mike Bantom,SF,30,Philadelphia 76ers,0.0,1.0,226.0,46,25.0,37.0,64.0,133,12.7,0.51,0.33299999999999996,114,0.588,380,1.0
1000000,1982,Sam Pellom,PF,30,Atlanta Hawks,0.0,0.0,229.0,28,29.0,47.0,57.0,164,10.3,0.45399999999999996,0.0,79,0.772,289,0.0
800000,1982,John Douglas,SG,25,San Diego Clippers,0.0,0.0,90.0,146,48.0,9.0,92.0,147,12.1,0.465,0.305,102,0.657,447,0.0
700000,1982,Jim Brogan,SG,23,San Diego Clippers,0.0,0.0,120.0,156,49.0,13.0,83.0,123,13.0,0.45299999999999996,0.281,84,0.726,400,0.0
800000,1982,Michael Wiley,PF,24,San Diego Clippers,0.0,0.0,182.0,52,40.0,16.0,71.0,127,16.2,0.565,0.0,141,0.695,504,0.0
1700000,1982,Coby Dietrick,C,33,Chicago Bulls,0.0,0.0,188.0,87,49.0,30.0,44.0,131,10.8,0.46,0.0,54,0.7040000000000001,222,0.0
